Sex,Agemos,M
1,0,3.530203168
1,0.5,4.003106424
1,1.5,4.879525083
1,2.5,5.672888765
1,3.5,6.391391982
1,4.5,7.041836432
1,5.5,7.630425182
1,6.5,8.162951035
1,7.5,8.644832479
1,8.5,9.081119817
1,9.5,9.476500305
1,10.5,9.835307701
1,11.5,10.16153567
1,12.5,10.45885399
1,13.5,10.7306256
1,14.5,10.97992482
1,15.5,11.20955529
1,16.5,11.4220677
1,17.5,11.61977698
1,18.5,11.80477902
1,19.5,11.9789663
1,20.5,12.14404334
1,21.5,12.30154103
1,22.5,12.45283028
1,23.5,12.59913494
1,24.5,12.74154396
1,25.5,12.88102276
1,26.5,13.01842382
1,27.5,13.1544966
1,28.5,13.28989667
1,29.5,13.42519408
1,30.5,13.56088113
1,31.5,13.69737858
1,32.5,13.83504622
1,33.5,13.97418199
1,34.5,14.1150324
1,35.5,14.25779618
1,36,14.32994444
2,0,3.39918645
2,0.5,3.79752846
2,1.5,4.544776513
2,2.5,5.230584214
2,3.5,5.859960798
2,4.5,6.437587751
2,5.5,6.967850457
2,6.5,7.454854109
2,7.5,7.902436186
2,8.5,8.314178377
2,9.5,8.693418423
2,10.5,9.043261854
2,11.5,9.366593571
2,12.5,9.666089185
2,13.5,9.944226063
2,14.5,10.20329397
2,15.5,10.4454058
2,16.5,10.67250698
2,17.5,10.88638558
2,18.5,11.08868151
2,19.5,11.28089537
2,20.5,11.46439708
2,21.5,11.64043402
2,22.5,11.81013895
2,23.5,11.97453748
2,24.5,12.13455528
2,25.5,12.2910249
2,26.5,12.44469237
2,27.5,12.59622335
2,28.5,12.74620911
2,29.5,12.89517218
2,30.5,13.04357164
2,31.5,13.19180827
2,32.5,13.34022934
2,33.5,13.48913357
2,34.5,13.63877446
2,35.5,13.78936547
2,36,13.86507382